N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3,,,,,,,,,
0.0001,0.0001,0.0001,0.0001,10.1435503406,0.02,0.0001,0.001,0.0001,STOP,STOP,STOP,,,,,,,,,
0.0001,0.0001,0.9601594841,10.1434503406,10.1435503406,0.2,0.0001,0.0001,9.85848116706923E-06,RAISE,RAISE,RAISE,,,,,,,,,
0.0201,0.0011,1.2162208131,9.1833908565,10.1435503406,0.018931615,0.4001,0.3001,0.0946571419,RAISE,RAISE,RAISE,,,,,,,,,
0.0401,0.0021,1.9226629493,8.9273295275,10.1435503406,0.0264874017,0.8001,0.6001,0.1199008998,RAISE,LOWER,RAISE,,,,,,,,,
0.0391,0.0031,2.679737383,8.2208873913,10.1435503406,0.0430736413,1.2001,0.9001,0.1895453648,RAISE,LOWER,RAISE,,,,,,,,,
0.0381,0.0041,2.7750877496,7.4638129576,10.1435503406,0.065193385,1.6001,1.2001,0.2641814052,RAISE,LOWER,RAISE,"N ARE INPUT CONTROL PARAMETERS, A FEW DEPEND DIRECTLY ON CONTROL OUTPUT, REMAINING HAVE INTERDEPENDENCY AND SETPOINTS E.G.I COLUMN. ASSUMED THAT PROCESS WANTS I=1 IDEALLY",,,,,,,,
0.0371,0.0051,3.7311112334,7.368462591,10.1435503406,0.0743611279,2.0001,1.5001,0.2735815032,RAISE,LOWER,RAISE,"M ARE OUTPUT CONTROL PARAMETERS(LABLE= STOP,HOLD,LOWER,RAISE)",,,,,,,,
0.0361,0.0061,4.0833078242,6.4124391072,10.1435503406,0.1012724483,2.4001,1.8001,0.3678308983,RAISE,LOWER,RAISE,"THE RELATIONS AMONG CONTROL PARAMETERS ARE SET AT ROW 3, AT ROW 2 IS INITIALIZATIONS",,,,,,,,
0.0351,0.0071,4.6038348083,6.0602425164,10.1435503406,0.1273558394,2.8001,2.1001,0.4025521328,RAISE,LOWER,RAISE,,,,,,,,,
0.0341,0.0081,5.3573632504,5.5397155323,10.1435503406,0.1519356625,3.2001,2.4001,0.4538681875,RAISE,LOWER,RAISE,"THE CONTROL OUTPUT ACTION DECISIONS ARE SET AT ROW 3 OF M1,M2,M3",,,,,,,,
0.0331,0.0091,5.6329259349,4.7861870902,10.1435503406,0.1934165471,3.6001,2.7001,0.5281546471,RAISE,LOWER,RAISE,,,,,,,,,
